session,participant,part_label,clicked_button,market_bonus,forecast_bonus,risk_bonus,quiz_bonus,total_bonus,showup,total_payment
lwnwomh2,rwuaj1ns,lwnwomh2_67P,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,g468sawq,lwnwomh2_45E,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
lwnwomh2,mn9v2cw3,lwnwomh2_72F,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,zubq3176,yy9pw5g4_39L,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,dwpwl416,yy9pw5g4_72M,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,b05erd8e,yy9pw5g4_30E,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,bjqhtshm,yy9pw5g4_28V,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,ilrdhx07,yy9pw5g4_08W,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,cpkol1v8,yy9pw5g4_95W,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,5d4rg7v7,yy9pw5g4_28O,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,k7zi7f86,yy9pw5g4_41I,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,wewrygt6,yy9pw5g4_08H,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,xbojgqqi,yy9pw5g4_11Y,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,1kvcd94v,yy9pw5g4_85Q,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,ub92m5hl,yy9pw5g4_73G,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,4hht7c41,yy9pw5g4_59W,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,4ak27hwf,yy9pw5g4_94O,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,3mbqao9v,yy9pw5g4_44H,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,hgzhwrtq,yy9pw5g4_34O,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,wdqex2ng,yy9pw5g4_00T,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,3gmlf100,yy9pw5g4_76A,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,trftx09h,yy9pw5g4_13V,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
yy9pw5g4,9b1h9lt8,yy9pw5g4_91K,0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
iej4b858,7pryiy8i,iej4b858_14E,1,3.1,0.15,0.0,0.0,3.25,12.0,15.25
iej4b858,54mni6no,iej4b858_08K,1,3.11,0.16,0.0,0.0,3.27,12.0,15.27
iej4b858,ikv8zt8k,iej4b858_79S,1,2.99,0.18,0.0,0.0,3.17,12.0,15.17
iej4b858,iihbh313,iej4b858_49D,1,3.38,0.18,0.0,0.0,3.56,12.0,15.56
iej4b858,vpdv4w0c,iej4b858_10T,1,3.31,0.15,0.0,0.0,3.46,12.0,15.46
iej4b858,4gbrjzuw,iej4b858_89N,1,3.46,0.18,0.0,0.0,3.64,12.0,15.64
iej4b858,1rd2d88w,iej4b858_67K,1,3.35,0.2,0.0,0.0,3.55,12.0,15.55
iej4b858,aiwfrhz3,iej4b858_60G,1,4.39,0.18,0.0,0.0,4.57,12.0,16.57
iej4b858,9gdyarx4,iej4b858_08U,1,3.21,0.18,0.0,0.0,3.39,12.0,15.39
iej4b858,jprbfvao,iej4b858_89B,1,3.18,0.18,0.0,0.0,3.36,12.0,15.36
iej4b858,gucgyw2b,iej4b858_34K,1,3.14,0.15,0.0,0.0,3.29,12.0,15.29
iej4b858,o623gggu,iej4b858_79Q,1,3.27,0.15,0.0,0.0,3.42,12.0,15.42
iej4b858,yuptcsp5,iej4b858_95K,1,3.21,0.18,0.0,0.0,3.39,12.0,15.39
iej4b858,qqh1acw9,iej4b858_49W,1,3.41,0.16,0.0,0.0,3.57,12.0,15.57
iej4b858,nh22uu08,iej4b858_86I,1,3.89,0.16,0.0,0.0,4.05,12.0,16.05
iej4b858,ha7ard01,iej4b858_35L,1,3.64,0.19,0.0,0.0,3.83,12.0,15.83
iej4b858,qvjkc266,iej4b858_12L,1,3.35,0.16,0.0,0.0,3.51,12.0,15.51
iej4b858,2ctk00ae,iej4b858_91N,1,3.19,0.15,0.0,0.0,3.34,12.0,15.34
iej4b858,jcrd8vzj,iej4b858_21Z,1,3.38,0.14,0.0,0.0,3.52,12.0,15.52
iej4b858,5g2o4aa4,iej4b858_68N,1,3.19,0.14,0.0,0.0,3.33,12.0,15.33
